geneid	genename	nns1	nns2	nns3	amp	gain	hetloss	hmdel	ovexpr	unexpr	meth	ncnv	nexpr	nmeth	sonc	ssup	score
215	ABCD1	0	0	1	8	29	52	0	26	2	0	528	532	319	3.20118478013	0.187969924812	1.67860595514
216	ALDH1A1	0	0	4	0	12	149	0	16	3	80	528	532	319	1.5037593985	0.281954887218	0.588573754274
217	ALDH2	0	0	1	0	120	6	1	27	2	6	528	532	319	2.53759398496	0.282666894509	1.34346125644
218	ALDH3A1	0	0	3	0	26	45	0	14	1	2	528	532	319	1.31578947368	0.093984962406	0.395928676331
219	ALDH1B1	0	0	3	0	13	146	0	8	0	304	528	532	319	0.751879699248	0.0	0.0
220	ALDH1A3	0	0	3	0	28	37	0	13	2	311	528	532	319	1.22180451128	0.187969924812	0.289013472415
221	ALDH3B1	0	0	1	0	33	19	0	27	3	15	528	532	319	2.53759398496	0.281954887218	1.34346125644
222	ALDH3B2	0	0	1	0	33	19	0	7	3	318	528	532	319	0.657894736842	0.281954887218	0.0
223	ALDH9A1	0	0	2	2	60	33	0	27	18	0	528	532	319	2.72698792436	1.69172932331	0.688809556012
224	ALDH3A2	0	0	3	0	26	45	0	15	4	249	528	532	319	1.40977443609	0.375939849624	0.495464349882
225	ABCD2	0	0	8	0	120	4	0	27	0	0	528	532	319	2.53759398496	0.0	1.34346125644
226	ALDOA	0	0	1	1	107	12	0	38	5	0	528	532	319	3.66612554113	0.46992481203	1.87425618971
228	ALDOAP2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
229	ALDOB	0	0	4	0	12	149	0	7	1	209	528	532	319	0.657894736842	0.093984962406	0.0
230	ALDOC	0	0	2	1	29	32	0	20	8	0	528	532	319	1.97439621782	0.751879699248	0.981411535955
231	AKR1B1	0	0	2	3	168	7	0	18	0	8	528	532	319	1.9758202324	0.0	0.98245169104
236	AKR1B1P2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
238	ALK	0	0	20	0	77	13	1	22	1	0	528	532	319	2.06766917293	0.188681932103	1.04800537291
239	ALOX12	0	0	0	0	26	50	1	15	1	319	528	532	319	1.40977443609	0.188681932103	0.495464349882
240	ALOX5	0	0	5	0	13	77	0	22	5	1	528	532	319	2.06766917293	0.46992481203	1.04800537291
241	ALOX5AP	0	0	0	1	20	81	1	22	1	146	528	532	319	2.16236614263	0.188681932103	1.11261082808
242	ALOX12B	0	0	3	1	26	50	1	16	2	0	528	532	319	1.59845636819	0.282666894509	0.676679364544
243	ALOX12P1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
245	ALOX12P2	0	0	0	0	0	0	0	20	0	301	528	532	319	1.87969924812	0.0	0.910501849161
246	ALOX15	0	0	4	0	26	48	0	17	3	0	528	532	319	1.5977443609	0.281954887218	0.676036595524
247	ALOX15B	0	0	2	0	26	50	1	29	0	0	528	532	319	2.72556390977	0.094696969697	1.4465547494
248	ALPI	0	0	4	4	68	44	3	22	0	111	528	532	319	2.44645705172	0.284090909091	1.29069395605
249	ALPL	0	0	3	0	8	96	0	17	0	2	528	532	319	1.5977443609	0.0	0.676036595524
250	ALPP	1	1	2	4	68	44	3	6	1	0	528	532	319	0.942697653224	5.3780758715	-2.42709010825
251	ALPPL2	0	0	1	4	68	44	3	8	0	0	528	532	319	1.13066757804	0.284090909091	0.177174832058
253	ALS3	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
255	ALS5	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
257	ALX3	0	0	1	0	20	65	0	12	6	0	528	532	319	1.12781954887	0.563909774436	0.173536254995
258	AMBN	0	0	6	1	14	66	0	11	1	0	528	532	319	1.12853155616	0.093984962406	0.174446759942
259	AMBP	0	0	1	0	13	150	0	8	2	94	528	532	319	0.751879699248	0.187969924812	0.0
261	AMCN	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
262	AMD1	0	0	1	1	8	144	2	20	0	0	528	532	319	1.97439621782	0.189393939394	0.981411535955
263	AMDP1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
265	AMELX	0	0	0	1	28	53	2	18	1	0	528	532	319	1.78642629301	0.2833789018	0.837076390324
266	AMELY	0	0	1	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
267	AMFR	0	0	4	0	98	22	0	14	1	214	528	532	319	1.31578947368	0.093984962406	0.395928676331
268	AMH	0	0	1	0	47	18	2	26	0	301	528	532	319	2.44360902256	0.189393939394	1.28901347241
269	AMHR2	0	0	9	1	121	4	0	12	1	6	528	532	319	1.22251651857	0.093984962406	0.289853958917
270	AMPD1	1	1	12	0	21	63	0	14	2	234	528	532	319	1.31578947368	5.18796992481	-1.97924143983
271	AMPD2	0	0	4	0	20	64	0	23	17	257	528	532	319	2.16165413534	1.5977443609	0.436099114807
272	AMPD3	0	0	5	0	34	17	0	17	0	173	528	532	319	1.5977443609	0.0	0.676036595524
273	AMPH	0	0	13	0	172	2	0	8	0	247	528	532	319	0.751879699248	0.0	0.0
274	BIN1	0	0	4	0	75	13	0	27	3	101	528	532	319	2.53759398496	0.281954887218	1.34346125644
275	AMT	0	0	1	0	6	409	55	5	14	3	528	532	319	0.46992481203	6.52412280702	-2.70578393892
276	AMY1A	0	0	2	0	20	66	0	17	0	0	528	532	319	1.5977443609	0.0	0.676036595524
277	AMY1B	0	0	2	0	20	66	0	0	0	0	528	532	319	0.0	0.0	0.0
278	AMY1C	0	0	2	0	20	66	0	0	0	0	528	532	319	0.0	0.0	0.0
279	AMY2A	1	1	9	0	20	66	0	15	3	253	528	532	319	1.40977443609	5.28195488722	-1.90560762973
280	AMY2B	0	0	9	0	20	66	0	22	4	313	528	532	319	2.06766917293	0.375939849624	1.04800537291
281	AMYP1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
282	ANCR	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
283	ANG	0	0	0	0	18	205	0	0	4	0	528	532	319	0.0	0.375939849624	0.0
284	ANGPT1	0	0	5	3	67	58	0	10	0	246	528	532	319	1.22394053315	0.0	0.291533464393
285	ANGPT2	0	0	0	0	20	146	6	25	5	103	528	532	319	2.34962406015	1.03810663021	1.17847530481
286	ANK1	0	0	19	0	33	120	2	22	1	1	528	532	319	2.06766917293	0.2833789018	1.04800537291
287	ANK2	2	2	40	1	12	74	1	19	0	96	528	532	319	1.88041125541	10.0946969697	-2.42447747721
288	ANK3	0	0	50	0	12	89	0	19	4	35	528	532	319	1.78571428571	0.375939849624	0.836501267717
289	ANOP1	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
290	ANPEP	0	0	4	1	28	36	0	21	7	70	528	532	319	2.06838118022	0.657894736842	1.04850208321
291	SLC25A4	0	0	1	0	12	76	2	10	2	273	528	532	319	0.93984962406	0.377363864206	0.0
292	SLC25A5	0	0	0	5	23	47	1	18	0	0	528	532	319	2.16521417179	0.094696969697	1.11450973595
293	SLC25A6	0	0	1	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
301	ANXA1	0	0	6	0	12	149	0	12	3	317	528	532	319	1.12781954887	0.281954887218	0.173536254995
302	ANXA2	0	0	0	0	25	37	0	35	1	131	528	532	319	3.28947368421	0.093984962406	1.71785677122
303	ANXA2P1	0	0	0	0	0	0	0	0	0	306	528	532	319	0.0	0.0	0.0
304	ANXA2P2	0	0	0	0	0	0	0	0	0	0	528	532	319	0.0	0.0	0.0
305	ANXA2P3	0	0	0	0	0	0	0	0	0	212	528	532	319	0.0	0.0	0.0
306	ANXA3	0	0	2	1	13	66	0	24	2	0	528	532	319	2.35033606744	0.187969924812	1.23286705814
307	ANXA4	0	0	1	0	76	16	0	32	12	216	528	532	319	3.00751879699	1.12781954887	1.41503749928
308	ANXA5	0	0	1	1	11	75	1	27	4	145	528	532	319	2.63229095466	0.470636819321	1.3963189631
309	ANXA6	0	0	3	79	242	3	0	32	2	18	528	532	319	10.4885794031	0.187969924812	3.39074738415
310	ANXA7	0	0	6	0	12	91	0	13	5	0	528	532	319	1.22180451128	0.46992481203	0.289013472415
311	ANXA11	0	0	1	0	12	92	0	21	9	271	528	532	319	1.97368421053	0.845864661654	0.980891177052
312	ANXA13	0	0	6	4	73	50	0	15	4	32	528	532	319	1.78856231488	0.375939849624	0.838800383807
313	AOAH	0	0	10	0	173	2	0	22	5	137	528	532	319	2.06766917293	0.46992481203	1.04800537291
314	AOC2	1	1	8	1	30	30	0	29	0	278	528	532	319	2.82026087947	5.0	-0.826099474068
